original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
Purity Falls,Thriller,90,USA,English,Sam Irvin,Stargazer Films USA,"After the tragic death of her husband, a mother moves her teenage son and daughter to the idyllic town of Purity Falls only to find the rift with her son deepen when he becomes entrapped in the neighborhood maven's nefarious home business.",4.7,324,9,1
Inside Game,"Drama, Sport",97,USA,English,Randall Batinkoff,818 Media Productions,"In 2007, when NBA referee Tim Donaghy (Eric Mabius) got caught betting on games he worked, he said two men associated with the Gambino crime family - a bookie named Baba Battista (Will ...",5.8,207,39,4
Arjun Suravaram,"Action, Thriller",108,India,Telugu,T. Santhosh,Movie Dynamix,An investigative journalist is arrested for cheating banks with fake certificates. He discovers a crime syndicate behind the scam and decides to investigate it himself.,7,440,5,1
L'uomo del labirinto,"Horror, Mystery, Thriller",130,Italy,Italian,Donato Carrisi,Gavila,"Samantha, a young kidnapped girl, resurfaces in shock after being imprisoned and hospitalized. Next to her is Dr. Green, a profiler who investigates victims' minds to find clues. Genko, a ...",5.5,1212,6,16
Karma,"Horror, Thriller",85,Taiwan,Chinese,Wei-Heng Chung,,"Newbie teacher Ling Shen's first day at school coincides with a student's accidental death at home. As Ling Shen gets dragged into one after another ""accidental"" brutal deaths, she begins ...",5.6,202,2,
Il signor Diavolo,"Horror, Mystery, Thriller",86,Italy,Italian,Pupi Avati,Duea Film,"Italy, 1952. The young official Furio Momenté is sent to Veneto region, near Polesine, to investigate a shocking and mysterious case: a minor has in fact killed one of his peers claiming to have killed the devil himself.",6,844,2,20
Let's Dance,"Comedy, Drama, Family",109,"France, Belgium",French,Ladislas Chollat,Empreinte Cinéma,"Joseph, passionate dancer of hip-hop, refuses to enter the company of his father to try his luck in Paris. With his girlfriend Emma and his best friend Karim, he joins the Paris crew of ...",6,881,4,3
Beaux-parents,Comedy,83,France,French,Héctor Cabello Reyes,Kabo Films,,5.7,311,1,5
Kopfplatzen,Drama,99,Germany,German,Savas Ceviz,Kurhaus Production,"Markus, a good-looking, likable and respected architect, is a paedophile. Bodies of little boys excite him. He suffers tremendously because of this inclination. He tortures himself for it ...",6.9,159,,12
Attenti al gorilla,"Comedy, Family",90,Italy,Italian,Luca Miniero,Wildside,"Lorenzo is a family lawyer who, after splitting from his wife Emma, lost everything, including the children safekeeping. After he visited a zoo he decides to defend the rights of a gorilla ...",5.2,154,1,5
Christmas at the Chateau,Romance,98,USA,English,Jason Hudson,Clearlight Entertainment,"How will 3 sisters save the Shakespeare Chateau, historic mansion and beloved family home, from a corrupt bank that threatens to foreclose on Christmas Day? Especially when one of them falls in love with one of the bankers.",3.7,129,31,
Portrait de la jeune fille en feu,"Drama, Romance",122,France,"French, Italian",Céline Sciamma,Lilies Films,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",8.1,49960,309,250
Kidnapping Stella,"Crime, Thriller",89,Germany,German,Thomas Sieben,Henning Ferber Produktion,"Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully laid plans.",4.8,4872,70,21
