original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
Motherless Brooklyn,"Crime, Drama, Mystery",144,USA,"English, French",Edward Norton,Warner Bros. Pictures,"In 1950s New York, a lonely private detective afflicted with Tourette's Syndrome ventures to solve the murder of his mentor and only friend.",6.8,34759,319,178
Alita: Battle Angel,"Action, Adventure, Sci-Fi",122,"USA, Japan, Canada","English, Spanish",Robert Rodriguez,Twentieth Century Fox,"A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",7.3,217183,2757,368
Danger Close: The Battle of Long Tan,"Action, Drama, War",118,Australia,English,Kriv Stenders,Deeper Water,"In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.",6.8,8131,204,31
Shazam!,"Action, Adventure, Comedy",132,"USA, Canada","English, Spanish",David F. Sandberg,Warner Bros.,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7.1,240858,2009,379
The Last Full Measure,"Drama, War",116,USA,English,Todd Robinson,Foresight Unlimited,"Thirty-four years after his death, Airman William H. Pitsenbarger, Jr. (""Pits"") is awarded the nation's highest military honor, for his actions on the battlefield.",6.7,5449,163,44
The Dirt,"Biography, Comedy, Drama",107,USA,English,Jeff Tremaine,10th Street Entertainment,"Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",7,37295,553,72
Dirt Music,"Crime, Drama, Romance",105,"Australia, UK",English,Gregor Jordan,Wildgaze Films,The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in,5.2,204,5,15
Pet Sematary,"Horror, Mystery, Thriller",101,"USA, Canada",English,"Kevin Kölsch, Dennis Widmyer",Paramount Pictures,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",5.7,76819,1169,326
Bolden,Drama,108,USA,English,Dan Pritzker,King Bolden,"A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.",5.6,417,16,5
Road to Red,"Action, Adventure, Horror",120,"USA, Portugal",English,Tito da Costa,Worldwide Artists,A surf-skate action-thriller about five best friends who set out on a road trip that quickly turns into an epic battle for survival.,4.2,472,8,1
Fantasy Island,"Action, Adventure, Fantasy",109,USA,English,Jeff Wadlow,Columbia Pictures,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.9,26823,635,154
Pattabhiraman,Drama,139,India,Malayalam,Kannan Thamarakkulam,Abaam Movies,It is the story of a warrior against food adulteration and challenges he faces because of that.,7,742,31,
The Rental,"Horror, Thriller",88,USA,English,Dave Franco,Black Bear Pictures,Two couples rent a vacation home for what should be a celebratory weekend get-away.,5.7,9453,233,133
A Christmas Prince: The Royal Baby,"Family, Romance",84,USA,English,John Schultz,Netflix,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.",5.3,3836,38,17
Jagtsæson,Comedy,92,Denmark,Danish,Tilde Harkamp,Nordisk Film Production,"Eva, a recently divorced, single mom, goes away for a weekend at a spa with her childhood friend Marlene to help her get through her midlife crisis. Isabella, the new girlfriend of Eva's ...",5.2,316,2,1
Bull,Drama,108,USA,English,Annie Silverstein,Bert Marcus Productions,"In a near-abandoned subdivision west of Houston, a wayward teen runs headlong into her equally willful and unforgiving neighbor, an aging bullfighter who's seen his best days in the arena; it's a collision that will change them both.",6.7,1531,18,51
Snatchers,"Comedy, Horror, Sci-Fi",96,USA,English,"Stephen Cedars, Benji Kleiman",MAKE GOOD Content,"After status-obsessed teen Sara has sex for the first time, she wakes up the next day nine months pregnant-with an alien.",5.7,2173,51,27
Family Obligations,"Comedy, Drama",81,USA,English,Kenneth R. Frank,In the Garage Productions,One man learns to die. Another man learns to live.,5.2,234,17,13
Lucky Grandma,"Comedy, Drama",87,USA,"English, Mandarin, Cantonese",Sasie Sealy,Parris Pictures,"Set in New York City's Chinatown, an ornery, chain-smoking Chinese grandma goes all in at the casino, landing herself on the wrong side of luck - and in the middle of a gang war.",6.5,496,9,34
IRIS: A Space Opera by Justice,Music,63,France,English,André Chemetoff,Because,"A 60 minute film of Justice's 2017-2018 live show, recorded in an empty and invisible space without an audience, focusing exclusively on the impressive production and music. The show has ...",8,256,6,1
Forest of the Dead Sharks,"Action, Comedy, Horror",50,Russia,Russian,Sergey A.,Terra Studio,"The main character named Dima Maslennikov is sent to the eerie forest to shoot the next episode of his show. However, the filming is not going according to plan. The flock of bloodthirsty sharks started hunting at Dmitriy.",7.2,340,1,4
Death Whisper,Horror,91,"Indonesia, South Korea",Indonesian,Awi Suryadi,CJ Entertainment,"Alex, a new highschool student met Maggie, and become best friends. Suddenly weird things started to happen in their highschool.",6.4,146,5,6
Ispade Rajavum Idhaya Raniyum,"Drama, Romance",141,India,Tamil,Ranjit Jeyakodi,Madhav Media,The relationship between a guy and a girl becomes complicated when the latter gets tired of the former's impatient behaviour.,6.6,376,10,2
'P' fung bou,"Action, Crime",96,"Hong Kong, China","Cantonese, Mandarin",David Lam,Mandarin Motion Pictures,"William Luk, goes undercover as a prisoner to investigate correctional officers who are receiving bribes.",5.9,486,5,11
Gone Kesh,"Comedy, Drama",110,India,Hindi,Qasim Khallow,DNG Films,"Enakshi is diagnosed with Alopecia, where she begins to lose hair from her scalp. Although she finds her temporary fix to this, it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure?",7,1092,15,6
Finals,"Drama, Sport",122,India,Malayalam,P.R. Arun,Heavenly Movies,"The film revolves around the struggles faced by Alice, a cyclist.",7.3,196,4,2
The Protector,"Comedy, Romance",126,"USA, UK",English,Tosca Musk,Passionflix,"Based on the novel by best selling author, Jodi Ellen Malpas.",5.5,401,12,1
Seeru,"Action, Drama",123,India,Tamil,"Rathina Shiva, Sami Rajalingam",Vels Film International,A guy from a small-town takes on a ruthless criminal lawyer for his friend and sister(s).,5.4,224,6,3
Love Aaj Kal,"Drama, Romance",142,India,Hindi,Imtiaz Ali,The Crew Rajasthan,"Two different individuals on a journey of love, loss and life.",5,6292,682,20
Nedunalvaadai,Drama,120,India,Tamil,Selvakannan,B-Star Productions,"An unemployed youngster is at the crossroads, puzzled about choosing between family and love.",7.3,157,8,
Mukherjee Dar Bou,"Drama, Family",127,India,Bengali,Pritha Chakraborty,Windows Production House,Mukherjee Dar Bou is a story based on a modern dysfunctional family revolving around the complex and intricate yet caring relationship of a mother-in-law and daughter-in-law. The story ...,7.9,365,11,
Precure Miracle Universe Movie,"Animation, Adventure, Family",70,Japan,Japanese,Yukio Kaizawa,Toei Animation,,9,110,,
Countdown,"Horror, Thriller",90,USA,"English, Latin",Justin Dec,STX Films,"When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time runs out.",5.4,21646,312,120
My Stupid Boss 2,"Adventure, Comedy",96,Indonesia,"Indonesian, Malay, English, Vietnamese",Upi Avianto,Falcon Pictures,"Bossman and his employees goes to Vietnam to find new workers for his company, but instead of getting new workers they got a lot of new troubles.",6.6,305,3,5
Zagrebacki Ekvinocij,Comedy,94,Croatia,Croatian,Svebor Mihael Jelic,CEFGI,"Six young friends decide that the 2015 spring equinox is a great reason to throw a party. Two of them will prepare the ""venue"", the other two will get the booze, and the last two will get ...",8.1,197,5,4
Kapi,"Comedy, Drama",110,Turkey,Turkish,Nihat Durak,Durak Film,"Yakup and Semsa are Syriac families living in Berlin with their three children and grandchildren. Twenty-five years ago they migrated from Mardin to Berlin. One day, a call comes from ...",6.7,254,1,1
Alem-i Cin 2,Horror,93,Turkey,Turkish,Özgür Bakar,Film Fabrikasi,The police is in search of the mystery case behind the disappearance of a girl which occurred a while ago. Salih Hodja is the main suspect behind the girls' disappearance since that he was ...,5,376,,
Staged Killer,Thriller,88,USA,English,Christopher Ray,Rented Mule Films,"When a former co-host, Jake Everett, works his way back into the professional life of popular TV morning show host Naomi Spencer, the show's success skyrockets, but Naomi's personal life begins to fall apart.",3.4,216,17,2
Once Upon a Time in Deadwood,Western,85,USA,English,Rene Perez,Millman Productions,"A notorious gunslinger is slipped a slow-acting poison by an heiress and told he has three days to track down and rescue her sister, who has been kidnapped by a gang of hoodlums and holds the antidote.",2.8,176,11,7
Scare Attraction,Horror,72,UK,English,Steven M. Smith,Greenway Entertainment,Reality TV stars attend a Halloween Scare Attraction. Suddenly the escape room turns deadly as gas leaks in leaving them unconscious. A voice tells them they must tell a truth or die. Who will survive the real scare attraction?,4,288,9,5
Milosc i milosierdzie,"Biography, Drama, Family",107,Poland,Polish,Michal Kondrat,Fundacja Filmowa im. Sw. Maksymiliana Kolbe,"Docudrama tracing the life of Saint Faustina Kowalska, whose visions of Jesus Christ inspired the Roman Catholic devotion to the Divine Mercy and earned her the title of ""Apostle of Divine Mercy"".",6,115,8,2
Zero Distance,Thriller,75,Saudi Arabia,Arabic,Abdulaziz Alshlahei,King Abdulaziz Center for World Culture,A photographer faces his questionable past when he finds a picture of a dead body on his apartment floor and his pistol missing a bullet.,7,240,6,
Vellaipookal,"Crime, Drama, Thriller",122,USA,"English, Tamil",Vivek Elangovan,Indus Creations,"A retired cop from India while on a trip to USA solves a series of clueless crimes in his neighborhood, relying only on his power of reasoning.",7.2,1290,32,3
Dharmaprabhu,"Drama, Fantasy",147,India,Tamil,S. Muthukumaran,Sri Vaari Film,Lord Shiva accuses Yama for saving the life of a criminal-politician when the latter tries to stop a little girl from dying. Yama is given a few days' time to rectify his action.,4.6,153,5,4
Sale dovom daneshkadeh man,"Drama, Romance",99,Iran,Persian,Rasoul Sadrameli,,Mahtab and Ava are classmates in their second year of college studying engineering. The story begin when they and other classmates go on a trip to Esfahan.,4.7,161,1,33
Unhinged,"Action, Thriller",90,USA,English,Derrick Borte,Burek Films,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",6.2,4720,159,119
The Knight Before Christmas,"Adventure, Comedy, Drama",92,USA,English,Monika Mitchell,Motion Picture Corporation of America (MPCA),A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,5.5,12189,156,31
Hot Gimmick: Girl Meets Boy,Drama,119,Japan,Japanese,Yûki Yamato,,Hatsumi and her family live normal lives until she is used by Ryoki who begins to bully and intimidate her. Azusa is a friend in the area and also good looking. He has the hots for Hatsumi ...,4.5,234,11,4
Guilty,"Drama, Thriller",119,India,Hindi,Ruchi Narain,Dharmatic Entertainment,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.",5.5,3442,132,14
Ningen shikkaku: Dazai Osamu to 3-nin no onnatachi,"Biography, Drama, Thriller",120,Japan,Japanese,Mika Ninagawa,Shochiku,"Oguri Shun plays Dazai Osamu who is one of the more popular novelists in Japan. Like most artists he has his vulnerabilities and exposures. In this case, the man is an alcoholic and lustful...",5.9,243,2,4
Mantan Manten,"Drama, Romance",102,Indonesia,Indonesian,Farishad I. Latjuba,Visinema Pictures,"A wealthy woman is betrayed and all her wealth is gone. Her marriage plan is also in danger. But, she still has a villa as her only hope. To take the villa back, she had to become an assistant to a traditional bride shaman.",7.1,120,1,3
Made in Abyss: Tabidachi no Yoake,"Animation, Adventure, Family",119,Japan,Japanese,Masayuki Kojima,Kinema Citrus,"A girl named, Riko and her robot friend, Reg, journey down into a deadly, otherworldly chasm, known as the Abyss, in search of her lost mother.",7.1,151,2,4
Made in Abyss: Hôrô Suru Tasogare,"Animation, Adventure, Fantasy",110,Japan,Japanese,Masayuki Kojima,Kinema Citrus,"After departing from Ozen's camp, Riko and Reg continue their journey, encountering more dangers as they descend further into the Abyss.",7.5,111,1,1
Made in Abyss: Fukaki Tamashî no Reimei,"Animation, Adventure, Fantasy",113,Japan,Japanese,Masayuki Kojima,Kinema Citrus,"Riko, Reg, and their new friend, Nanachi, continue their journey down the Abyss and arrive at the 5th layer. But in order for them to continue to the 6th layer, they must encounter the haunting figure of Nanachi's past: Bondrewd the Novel.",8.1,191,4,
Seytan-i Ins,Horror,82,Turkey,Turkish,Gökhan Ari,Suare Film,"Semih lives in Istanbul with his grandmother. His father and mother died of a sin thirty years before this. However, Semih knows that her parents had died in a traffic accident. Semih ...",4.9,102,,
Manmadhudu 2,"Comedy, Drama, Romance",155,India,Telugu,Rahul Ravindran,Anandi Art Creations,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",4.8,507,10,2
We Are Legends,Action,108,Hong Kong,Cantonese,Yuhang Chen,,"My brother ""Investing"" and his younger brother ""Electric Rabbit"" grew up in an orphanage. They were adopted by the school worker ""Thunder Sir"" and received the help of ""Lei Master"" and ...",5.1,156,4,3
Le Miracle du Saint Inconnu,"Comedy, Crime",100,"Morocco, France, Qatar",Arabic,Alaa Eddine Aljem,Le Moindre Geste,A criminal returns to the fake grave where he buried his loot years before and discovers that it has become the shrine of an unknown saint and a thriving little village.,6.4,416,4,11
En Brazos de un Asesino,"Romance, Thriller",106,"USA, Dominican Republic",Spanish,Matías Moltrasio,William Levy Entertainment,"Victor (William Levy) has a deep secret - he is a cold-blooded assassin. Smooth talking and seductive, Victor was raised to do one thing only, which is to kill for money. When he is sent to...",5.9,287,5,5
Sweater,Drama,118,India,Bengali,Shiladitya Moulik,PSS Entertainment,"After facing multiple rejections in matrimony, Tuku agrees to learn knitting when insisted by a prospective mother-in-law, only to rediscover her life and relationships.",7.2,608,12,1
Gujarat 11,"Drama, Sport",140,India,Gujarati,Jayant Gilatar,H G Pictures,"Gujarat 11 is the story of an ex-football player, Divya, who takes up the challenge of training juvenile home boys for a state-level football tournament.",7.4,113,22,
Evvarikee Cheppoddu,Drama,133,India,Telugu,Basava Shankar Eeday,Crazyants Productions,"Hari and Harathi are in love, but Harathi's father won't agree to their relationship because of their caste differences.",7.3,288,12,1
Flat Earth: To the Edge and Back,Comedy,50,USA,English,Logan Paul,,Logan goes around North America to discover and learn about the flat earth community and he decides whether he believes in it too,3.5,159,5,
Breaking Surface,"Action, Drama, Thriller",80,"Sweden, Norway, Belgium","Swedish, Norwegian",Joachim Hedén,Way Feature Films,A winter diving trip in Norway turns into a desperate race against time for two sisters when one of them becomes trapped on the bottom of the ocean by falling rocks.,6.1,623,8,6
Chandigarh Amritsar Chandigarh,"Comedy, Drama, Romance",107,India,Punjabi,Karaan Guliani,Leostride Entertainment,"While on her way from Chandigarh to Amritsar to sabotage her own wedding, a woman encounters a stranger who spends the day with her despite their obvious differences.",7.4,1400,145,
Blood on Her Name,"Crime, Drama, Thriller",85,USA,English,Matthew Pope,Rising Creek,A woman's panicked decision to cover up an accidental killing spins out of control when her conscience demands she return the dead man's body to his family.,5.5,654,21,45
Kizim Gibi Kokuyorsun,Drama,103,"Turkey, USA, France","Turkish, French, English",Olgun Özdemir,Sargona Film,"""Scent of My Daughter"" (English title translation). In this heartfelt, emotionally moving film, three strangers lives are shattered by tragic events as they find themselves crossing paths ...",6,113,5,8
The Exigency,Sci-Fi,112,USA,English,Cody Vibbart,Cuz Productions,"With a clueless King and failing military, the planet of Gallesha is on the brink of domination by a tyrant, Diederick, of the planet Anumbis. Gallesha's last hope for survival is to retrieve their retired legendary war hero.",6.5,107,8,4
Jack & Daniel,"Action, Thriller",156,India,Malayalam,S.L. Puram Jayasurya,Thameens Films,"Jack, a thief of hoodwinks the system and steals black money is chased by Daniel, a cop intent on catching him.",4.4,417,29,2
Holiday Rush,"Comedy, Drama, Family",92,USA,English,Leslie Small,Poke Prod,"After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.",4.8,1623,46,15
Dybbuk Box: The Story of Chris Chambers,Horror,60,USA,English,Joseph Mazzaferro,Mazz Appeal Films,The encounters recorded by Chris Chambers have been studied by industry professionals and proven to be accurate recorded paranormal accounts. Currently documented as one of the most supernatural recorded events to date.,5.5,424,40,2
La terre et le sang,"Action, Thriller",80,"France, Belgium",French,Julien Leclercq,Labyrinthe Films,"Saïd owns a sawmill deep in the woods, which he decides to sell. Little does he know that one of his apprentices was cornered by his brother and forced to hide a large amount of cocaine inside the factory.",4.9,1851,24,21
Watch Movie Free Online,"Action, Adventure, Comedy",45,Russia,Russian,Sergey A.,Terra Studio,The local TV director present new low budget projects for help TV channel. But these projects are very strange and crazy.,7.6,126,,1
Sono solo fantasmi,Comedy,98,Italy,Italian,"Christian De Sica, Brando De Sica",Indiana Production,Three brothers confront a ghost outbreak in the city of Naples.,4.8,134,,8
Song wo shang qing yun,Drama,99,China,Mandarin,Congcong Teng,Bad Rabbit Pictures,"Diagnosed with ovarian cancer, a 29-year-old journalist who longs for true love ends up writing the biography for an entrepreneur's father, which leads her to embark on an existential journey.",6.2,258,4,11
Cui mian cai jue,"Action, Crime",93,"Hong Kong, China","Cantonese, Chinese","Siu Kwan Lai, Wing Tai Lau",Dahe Pictures Yangzhou,The film centers around a juror on a high-profile case who is blackmailed into fixing the verdict after his daughter is kidnapped.,5.9,231,2,5
Chernobyl: Zona otchuzhdeniya,"Drama, Mystery, Sci-Fi",101,Russia,Russian,,Look Film,"In the anomalous zone of Chernobyl, under the protective sarcophagus of the fourth power unit, the Global Kintek Corporation is carrying out illegal construction. These plans need to be ...",4.7,115,,
The Party Planner,Thriller,93,USA,English,Jake Helgren,The Ninth House,"When young art gallery owner and mother Kayla Anderson finds herself drowning in work and in need of help planning her daughter Kerry's big upcoming Sweet Sixteen bash, she hires pretty, ...",4.7,143,4,2
Over Night,"Drama, Family",123,Japan,Japanese,Kazuya Shiraishi,,Koharu's children are torn apart and live independent of one another. Years pass and the family reunites. They each have a story to tell. One was so affected he can not articulate himself ...,6.3,131,1,5
2 Gisht Mjaltë,Comedy,101,Albania,Albanian,Emir Khalilzadeh,,"The story of a couple trying to realize a honeymoon in the Caribbean, but a mistake in buying tickets makes them wander the streets of southern Albania experiencing many different vicissitudes.",3.2,561,19,2
Kokon,"Drama, Romance",95,Germany,German,Leonie Krippendorff,Jost Hering Filmproduktion,"Berlin-Kreuzberg is Nora's microcosm. Nora, the silent observer, is always tagging along: At parties, at school, at the pool, on rooftops and in apartments. Nora drifts around the ...",7,138,1,11
Always a Bridesmaid,"Comedy, Romance",97,USA,English,Trey Haley,AAB Film,"Corina is stuck being everyone's bridesmaid. Deciding to no longer be a lady-in-waiting, she bravely re-enters the dating scene. Time will only tell if Corina will Always Be A Bridesmaid or if the love of her life is around the corner.",5.6,453,19,4
BABA 'Bu Alem Bi Alem',"Comedy, Drama",94,Turkey,Turkish,Oguz Yalçin,Eilith Media,,4.5,410,,
2177: The San Francisco Love Hacker Crimes,Sci-Fi,98,USA,English,Jose Figueroa,La Boca Productions LLC,Mysterious stranger helped save the day when proper data was obtained no one was harmed,1.5,102,15,
Smile Please,Drama,132,India,Marathi,Vikram Phadnis,Hashtag Film Studio,"Nandini Joshi, an award-winning photographer, is going through a personal crisis. Even as her busy husband and stubborn daughter continue to neglect her, Nandini struggles to find a sense ...",7,136,7,
Chambre 212,Comedy,86,"France, Belgium, Luxembourg",French,Christophe Honoré,Les Films Pelléas,"After 20 years of marriage, Maria decides to leave. She moves to the room 212 of the hotel opposite her marital home. From there, Maria can scrutinize her apartment, her husband, her wedding. She wonders if she has made the right decision.",6.1,1311,6,45
A mano disarmata,"Crime, Drama",107,Italy,Italian,Claudio Bonivento,Laser Film,"The story of Federica Angeli, reporter of the daily newspaper ""La Repubblica"" that investigates the Roman underworld, challenging threats and dangers.",5.7,153,,2
Schwesterlein,Drama,99,"Switzerland, Germany","German, French, English","Stéphanie Chuat, Véronique Reymond",Vega Film,"Lisa has bid goodbye to her ambitions as a playwright and the Berlin arts scene and now lives in Switzerland with her husband, who runs an international school. When her twin brother falls ill, she returns to Berlin.",5.9,265,,15
Uriyadi 2,"Action, Thriller",119,India,Tamil,Vijay Kumar,2D Entertainment,"A man leads an agitation against corrupt politicians and an unethical businessman whose factory has released toxic gas into the air, resulting in a tragedy.",7.2,637,11,2
Chambal,Drama,112,India,Kannada,Jacob Varghese,Zee Tv,Films about the prevalent system that are told without filters are barely any in Kannada and this sets the film apart. The film does have that little trigger that acts as a catalyst in making you feel uneasy about the world around you.,7.4,146,2,
Incitement,Thriller,123,Israel,Hebrew,Yaron Zilberman,Metro Communications,"Details the year leading to the assassination of Israel's Prime Minister, Yitzhak Rabin (1922-1995), from the point of view of the assassin.",7.1,439,9,17
Frantsuz,Drama,128,Russia,Russian,Andrey Smirnov,Marmot-film,"In 1957, a French student Pierre Duran arrives in Moscow for an internship at Moscow State University. Here he meets the Bolshoi Theater ballerina Kira Galkina and photographer Valera ...",6.4,148,1,1
Chhalawa,"Comedy, Drama, Family",117,Pakistan,"Urdu, Punjabi",Wajahat Rauf,Showcase Films,"Zoya plans to escape from her father's haveli so that she can be with Sameer. But Chaudhry sb has shut down all communications. It will be a tough exit without wifi, facebook, Instagram and well, a phone connection.",2.7,312,24,2
Tribal Get Out Alive,"Action, Horror, Thriller",86,UK,English,Matt Routledge,Wildstyle Casting and Management,"Elite military personnel Caitlin Ross retires from service after suffering from PTSD. Along with former team member and close friend Brad Johnson, they opted for the 'easy life' and now ...",6.9,1420,41,9
Scare Me,Horror,104,USA,English,Josh Ruben,Irony Point,"During a power outage, two strangers tell scary stories. The more Fred and Fanny commit to their tales, the more the stories come to life in their Catskills cabin. The horrors of reality manifest when Fred confronts his ultimate fear.",3.4,138,4,4
Post,"Drama, Fantasy, Horror",45,Russia,None,Sergey A.,Terra Studio,"The suicide man after death finds himself in hell. Where all attempts to commit suicide lead to nothing, and only demonic essences slowly devour him from the inside.",8.4,230,1,1
National Theatre Live: The Lehman Trilogy,Drama,223,UK,,Sam Mendes,,"The story of Lehman Brothers, from their beginnings as cotton brokers before the Civil War to the company's involvement in the financial crisis of 2008.",9.2,138,2,1
Dragon Quest: Your Story,"Animation, Adventure, Family",103,Japan,Japanese,Takashi Yamazaki,Abe Shuji,Based on the fifth Dragon Quest game.,6.5,1984,71,6
1800 gramów,Comedy,100,Poland,Polish,Marcin Glowacki,TVN,"A touching story about the most important human matters: love, loneliness, sacrifice and courage, around the life of Ewa, a woman who works looking for families for orphaned children.",5.7,153,,
Proceder,"Biography, Music",137,Poland,Polish,Michal Wegrzyn,Global Studio,"Tomas Chada was a good guy at heart, great with rhyme and poetry, which lead him to becoming a rapper, well known in Poland. This story shows how he went through his suicidal stage to his pride days.",5.5,425,,
Zenek,"Biography, Music",115,Poland,Polish,Jan Hryniak,Lightcraft,"Zenon Martyniuk, a boy from the Podlasie village, who realizes his great dream is to sing and entertain the crowds. It shows Zenek's path to enormous success, which he achieved thanks to persistence and hard work.",2.4,1428,34,
Le sel des larmes,Drama,100,"France, Switzerland",French,Philippe Garrel,Rectangle Productions,"A provincial youngster who travels up to Paris to sit an entrance exam for a ""grande école"". His path crosses that of a young woman and they strike up a short-lived relationship.",5.8,210,,14
Rakshasudu,"Action, Crime, Thriller",122,India,Telugu,Ramesh Varma,A Studios,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen girls and murders them brutally.,8.2,913,15,1
Valiyaperunnal,"Drama, Thriller",188,India,Malayalam,Dimal Dennis,Anwar Rasheed Entertainment,Movie revolves around a group of people living in a harbor town. The story delves into their love for each other and a certain festival of sacrifices.,5.4,167,6,1
42nd Street: The Musical,Musical,155,UK,English,"Mark Bramble, Ross MacGibbon",Julian Marsh Pictures,"Peggy Sawyer, a talented young performer with stars in her eyes gets her big break on Broadway.",8,184,6,
Odessa,"Comedy, Romance",130,Russia,"Russian, Yiddish","Valeriy Todorovskiy, Irina Tretyakova",Marmot-film,"Odessa, August 1970. A heat wave. The city is full of tourists. Boris and his eight-year-old son Valeri arrive from Moscow to visit his pensioner in-laws, Grigori and Raisa. Their daughters...",6.2,383,7,
Premier de la classe,Comedy,82,"France, Belgium","French, Bambara",Stéphane Ben Lahcene,Les films du 24,,5.3,112,1,
Mon chien Stupide,Comedy,106,"France, Belgium",French,Yvan Attal,Same Player,"Henri is a middle-aged writer in crisis. Just at a time when he assesses of his life, an enormous gray dog, impolite and smelly, sneaks into Henri's house.",6.2,724,2,5
Das perfekte Geheimnis,"Comedy, Drama, Romance",111,Germany,German,Bora Dagtekin,Constantin Film,"Seven friends - three women and four men - meet for dinner. Everyone should put their cell phone on the table. No matter what message comes in - anyone can read it and listen to the phone calls. However, this leads to a lot of chaos.",6.7,2864,12,27
Wo He Wo De Zu Guo,"Drama, History",154,China,"Mandarin, Cantonese, English, Shanghainese","Kaige Chen, Hu Guan",Alibaba Pictures,"An anthology film consist of 7 short stories directed by several different directors, which are based on 7 moments since the founding of People's Republic of China.",6.4,1135,27,2
The Maid,"Drama, Fantasy, Horror",100,Thailand,Thai,Lee Thongkham,Global Film Station,"A teenager Joy, work as a domestic maid and being haunted by the previous maid spirit, to discover the secret behind her death.",5.7,288,14,2
Chasing Molly,"Comedy, Crime",80,USA,English,Josh Sutherland,Mountain Light Entertainment,"Molly, a paranormal con artist who cleans people of their valuables instead of their demons, accidentally rips off a drug kingpin. She now has to save her kidnapped partner and herself while battling through the underbelly of Los Angeles.",6,923,15,2
The Quarry,"Crime, Mystery, Thriller",98,USA,English,Scott Teems,EFC Films,"A drifter (Shea Whigham) kills a traveling preacher and takes his place at a small-town church, but the police chief (Michael Shannon) suspects foul play.",5.2,1446,28,23
Welad Rizk 2,"Action, Comedy, Crime",103,Egypt,"Arabic, English",Tarek Alarian,RAW Entertainment,"Three years after the events of the first part, the four brothers try their best to keep their oath to stay away from the life of crime. As one unexpected incident takes place in their ...",7.2,1347,4,
Bellezonismo,Comedy,97,Spain,Spanish,Jordi Arencón,"Apocalipsis Producciones, S.L",Two rally drivers get lost during a competition and end up stranded in a Beauty Technification Center in the middle of nowhere.,1.8,117,1,1
Heer Maan Ja,"Action, Comedy, Family",146,Pakistan,"Urdu, Punjabi",Azfar Jafri,Geo Films,"Heer and Kabeer part ways following a misunderstanding and a tragedy. Years later, there is an encounter which leads to a roller coaster ride of a journey while Heer is in danger. Will Kabir manage to save Heer before time runs out?",5.4,174,39,11
La femme de mon frère,Drama,117,Canada,French,Monia Chokri,Metafilms,"Sophia, an unemployed academic, is forced to change the way she thinks and lives her life when Karim, her beloved brother, falls in love.",6.9,740,1,6
"Hello, Love, Goodbye","Drama, Romance",118,Philippines,"Chinese, Tagalog, Filipino",Cathy Garcia-Molina,Star Cinema,A bartender romances a domestic helper despite the fact that she is moving to Canada.,7.4,704,35,3
Fjols til Fjells,Comedy,87,Norway,Norwegian,Petter Holmsen,Fjols til Fjells,"Everything that can go wrong goes wrong when care free ski bums, frustrated cabin owners, skiing Danes and partying youngsters team up on a Norwegian mountain resort with a very absent hotel manager.",4.6,197,,
NT Live: Cyrano de Bergerac,"Drama, Romance",160,UK,English,Jamie Lloyd,National Theatre Live,"An intense, raw and deep revival of Rostand's Cyrano de Bergerac by the Jamie Lloyd Company.",8.8,184,4,
Geolkapseu,"Action, Comedy, Crime",107,South Korea,"Korean, English",Jung Da-Won,CJ Entertainment,"Mi-Young, who used to be considered the Major Crimes Unit's top cop, is stationed behind a desk after having a baby. She leads uneventful yet peaceful days at handling civil complaints and ...",5.8,585,7,8
Fulci for fake,Biography,90,"UK, Italy",Italian,Simone Scafidi,Paguro Film,"The first biopic about Lucio Fulci. With never seen before footage, photos and interviews.",6.3,118,,14
Gli infedeli,Comedy,88,Italy,Italian,Stefano Mordini,Lebowski,"From campy lies to sexy surprises, this collection of vignettes captures the follies of several men as they fumble with fidelity and relationships.",4.7,856,7,9
